"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","30.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1995-01","ISO_DATE"
"National Centers for Environmental Information","76.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1995-08","ISO_DATE"
"National Centers for Environmental Information","32.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1914-01","ISO_DATE"
"National Centers for Environmental Information","72.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1935-08","ISO_DATE"
"National Centers for Environmental Information","68.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1969-06","ISO_DATE"
"National Centers for Environmental Information","69.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2015-06","ISO_DATE"
"National Centers for Environmental Information","60.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1943-05","ISO_DATE"
"National Centers for Environmental Information","66.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1977-09","ISO_DATE"
"National Centers for Environmental Information","47.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1911-04","ISO_DATE"
"National Centers for Environmental Information","25.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1897-01","ISO_DATE"
"National Centers for Environmental Information","63.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1959-05","ISO_DATE"
"National Centers for Environmental Information","70.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2015-08","ISO_DATE"
"National Centers for Environmental Information","68.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1912-08","ISO_DATE"
"National Centers for Environmental Information","52.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1967-10","ISO_DATE"
"National Centers for Environmental Information","28.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1904-12","ISO_DATE"
"National Centers for Environmental Information","66.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1986-09","ISO_DATE"
"National Centers for Environmental Information","53.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1983-10","ISO_DATE"
"National Centers for Environmental Information","53.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1959-10","ISO_DATE"
"National Centers for Environmental Information","36.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1975-03","ISO_DATE"
"National Centers for Environmental Information","68.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1915-08","ISO_DATE"
"National Centers for Environmental Information","35.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1987-12","ISO_DATE"
"National Centers for Environmental Information","55.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1994-05","ISO_DATE"
"National Centers for Environmental Information","59.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1895-05","ISO_DATE"
"National Centers for Environmental Information","64.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1983-09","ISO_DATE"
"National Centers for Environmental Information","69.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1999-08","ISO_DATE"
"National Centers for Environmental Information","29.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1994-02","ISO_DATE"
"National Centers for Environmental Information","62.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1987-05","ISO_DATE"
"National Centers for Environmental Information","46.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1994-11","ISO_DATE"
"National Centers for Environmental Information","40.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1971-11","ISO_DATE"
"National Centers for Environmental Information","42.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1913-11","ISO_DATE"
"National Centers for Environmental Information","67.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1991-05","ISO_DATE"
"National Centers for Environmental Information","46.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1920-04","ISO_DATE"
"National Centers for Environmental Information","69.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1920-07","ISO_DATE"
"National Centers for Environmental Information","59.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1913-05","ISO_DATE"
"National Centers for Environmental Information","56.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1945-05","ISO_DATE"
"National Centers for Environmental Information","67.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1945-06","ISO_DATE"
"National Centers for Environmental Information","37.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1976-02","ISO_DATE"
"National Centers for Environmental Information","35.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1991-02","ISO_DATE"
"National Centers for Environmental Information","71.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1960-08","ISO_DATE"
"National Centers for Environmental Information","42.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1960-11","ISO_DATE"
"National Centers for Environmental Information","73.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1944-07","ISO_DATE"
"National Centers for Environmental Information","64.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1944-09","ISO_DATE"
"National Centers for Environmental Information","47.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1944-04","ISO_DATE"
"National Centers for Environmental Information","64.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2022-09","ISO_DATE"
"National Centers for Environmental Information","37.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1998-01","ISO_DATE"
"National Centers for Environmental Information","48.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1934-04","ISO_DATE"
"National Centers for Environmental Information","27.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1910-01","ISO_DATE"
"National Centers for Environmental Information","73.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1902-07","ISO_DATE"
"National Centers for Environmental Information","66.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1965-09","ISO_DATE"
"National Centers for Environmental Information","64.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1989-09","ISO_DATE"
"National Centers for Environmental Information","70.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2014-06","ISO_DATE"
"National Centers for Environmental Information","71.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1949-06","ISO_DATE"
"National Centers for Environmental Information","49.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1965-10","ISO_DATE"
"National Centers for Environmental Information","66.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1965-06","ISO_DATE"
"National Centers for Environmental Information","42.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1918-03","ISO_DATE"
"National Centers for Environmental Information","75.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1916-07","ISO_DATE"
"National Centers for Environmental Information","28.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1925-12","ISO_DATE"
"National Centers for Environmental Information","46.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1997-04","ISO_DATE"
"National Centers for Environmental Information","70.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2021-06","ISO_DATE"
"National Centers for Environmental Information","72.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2021-07","ISO_DATE"
"National Centers for Environmental Information","72.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1940-07","ISO_DATE"
"National Centers for Environmental Information","59.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2021-10","ISO_DATE"
"National Centers for Environmental Information","50.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1933-04","ISO_DATE"
"National Centers for Environmental Information","47.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2020-04","ISO_DATE"
"National Centers for Environmental Information","73.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1930-07","ISO_DATE"
"National Centers for Environmental Information","57.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2020-05","ISO_DATE"
"National Centers for Environmental Information","66.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2021-09","ISO_DATE"
"National Centers for Environmental Information","33.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1933-12","ISO_DATE"
"National Centers for Environmental Information","21.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1947-02","ISO_DATE"
"National Centers for Environmental Information","69.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1947-07","ISO_DATE"
"National Centers for Environmental Information","67.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2004-06","ISO_DATE"
"National Centers for Environmental Information","43.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1907-04","ISO_DATE"
"National Centers for Environmental Information","72.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2003-08","ISO_DATE"
"National Centers for Environmental Information","71.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1972-07","ISO_DATE"
"National Centers for Environmental Information","56.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2019-10","ISO_DATE"
"National Centers for Environmental Information","26.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2010-02","ISO_DATE"
"National Centers for Environmental Information","61.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1898-05","ISO_DATE"
"National Centers for Environmental Information","38.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1988-03","ISO_DATE"
"National Centers for Environmental Information","47.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1932-04","ISO_DATE"
"National Centers for Environmental Information","71.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1961-08","ISO_DATE"
"National Centers for Environmental Information","42.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1970-11","ISO_DATE"
"National Centers for Environmental Information","65.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2010-09","ISO_DATE"
"National Centers for Environmental Information","37.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1993-03","ISO_DATE"
"National Centers for Environmental Information","35.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1924-03","ISO_DATE"
"National Centers for Environmental Information","28.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2001-01","ISO_DATE"
"National Centers for Environmental Information","55.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1928-10","ISO_DATE"
"National Centers for Environmental Information","67.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1964-08","ISO_DATE"
"National Centers for Environmental Information","31.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2008-01","ISO_DATE"
"National Centers for Environmental Information","30.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2008-02","ISO_DATE"
"National Centers for Environmental Information","31.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1961-12","ISO_DATE"
"National Centers for Environmental Information","63.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1935-09","ISO_DATE"
"National Centers for Environmental Information","59.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1948-05","ISO_DATE"
"National Centers for Environmental Information","74.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1936-07","ISO_DATE"
"National Centers for Environmental Information","76.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1955-07","ISO_DATE"
"National Centers for Environmental Information","49.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1992-10","ISO_DATE"
"National Centers for Environmental Information","36.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1911-03","ISO_DATE"
"National Centers for Environmental Information","64.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1903-06","ISO_DATE"
"National Centers for Environmental Information","24.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1903-12","ISO_DATE"
"National Centers for Environmental Information","31.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1921-01","ISO_DATE"
"National Centers for Environmental Information","72.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2017-07","ISO_DATE"
"National Centers for Environmental Information","67.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1992-08","ISO_DATE"
"National Centers for Environmental Information","56.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2017-04","ISO_DATE"
"National Centers for Environmental Information","69.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2017-08","ISO_DATE"
"National Centers for Environmental Information","60.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1969-05","ISO_DATE"
"National Centers for Environmental Information","34.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1953-02","ISO_DATE"
"National Centers for Environmental Information","61.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1963-09","ISO_DATE"
"National Centers for Environmental Information","57.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1963-10","ISO_DATE"
"National Centers for Environmental Information","43.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1963-11","ISO_DATE"
"National Centers for Environmental Information","40.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1983-03","ISO_DATE"
"National Centers for Environmental Information","52.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1986-04","ISO_DATE"
"National Centers for Environmental Information","53.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1915-04","ISO_DATE"
"National Centers for Environmental Information","68.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2016-09","ISO_DATE"
"National Centers for Environmental Information","70.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1971-07","ISO_DATE"
"National Centers for Environmental Information","40.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1968-03","ISO_DATE"
"National Centers for Environmental Information","43.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1983-11","ISO_DATE"
"National Centers for Environmental Information","53.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1945-04","ISO_DATE"
"National Centers for Environmental Information","71.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1945-08","ISO_DATE"
"National Centers for Environmental Information","21.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1904-01","ISO_DATE"
"National Centers for Environmental Information","68.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1904-08","ISO_DATE"
"National Centers for Environmental Information","68.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1913-06","ISO_DATE"
"National Centers for Environmental Information","25.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1945-12","ISO_DATE"
"National Centers for Environmental Information","47.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1976-10","ISO_DATE"
"National Centers for Environmental Information","74.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1991-07","ISO_DATE"
"National Centers for Environmental Information","53.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1998-10","ISO_DATE"
"National Centers for Environmental Information","38.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2006-01","ISO_DATE"
"National Centers for Environmental Information","44.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1998-11","ISO_DATE"
"National Centers for Environmental Information","27.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1942-01","ISO_DATE"
"National Centers for Environmental Information","30.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1974-02","ISO_DATE"
"National Centers for Environmental Information","26.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1910-02","ISO_DATE"
"National Centers for Environmental Information","40.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1974-03","ISO_DATE"
"National Centers for Environmental Information","27.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1942-12","ISO_DATE"
"National Centers for Environmental Information","50.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1974-10","ISO_DATE"
"National Centers for Environmental Information","43.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1958-11","ISO_DATE"
"National Centers for Environmental Information","48.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1902-11","ISO_DATE"
"National Centers for Environmental Information","31.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2006-02","ISO_DATE"
"National Centers for Environmental Information","59.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1926-05","ISO_DATE"
"National Centers for Environmental Information","52.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1901-10","ISO_DATE"
"National Centers for Environmental Information","49.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1973-04","ISO_DATE"
"National Centers for Environmental Information","37.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1965-12","ISO_DATE"
"National Centers for Environmental Information","33.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1965-03","ISO_DATE"
"National Centers for Environmental Information","27.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1899-01","ISO_DATE"
"National Centers for Environmental Information","55.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1899-10","ISO_DATE"
"National Centers for Environmental Information","73.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1926-08","ISO_DATE"
